epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
99,214.682,0.64177,0.64842,0.8965,0.97815,0.98663,0.98752,0.81753,0.66792,0.58974,0.87614,0.000643625,0.000643625,0.000643625
100,216.676,0.6647,0.61919,0.87924,0.98831,0.98415,0.98704,0.81223,0.67393,0.58203,0.88466,0.000637437,0.000637437,0.000637437
101,218.848,0.67342,0.69085,0.93581,0.98831,0.98415,0.98704,0.81223,0.67393,0.58203,0.88466,0.00063125,0.00063125,0.00063125
102,221.273,0.64952,0.67354,0.92463,0.98853,0.98232,0.98655,0.81158,0.68528,0.58526,0.87653,0.000625062,0.000625062,0.000625062
103,223.838,0.67279,0.65155,0.90719,0.98853,0.98232,0.98655,0.81158,0.68528,0.58526,0.87653,0.000618875,0.000618875,0.000618875
104,226.29,0.65613,0.63455,0.91303,0.98888,0.98383,0.98577,0.81727,0.68516,0.56422,0.87348,0.000612687,0.000612687,0.000612687
105,227.943,0.63864,0.61243,0.884,0.98888,0.98383,0.98577,0.81727,0.68516,0.56422,0.87348,0.0006065,0.0006065,0.0006065
106,229.896,0.63952,0.63015,0.87841,0.98689,0.97846,0.98444,0.80939,0.68588,0.55452,0.87737,0.000600313,0.000600313,0.000600313
107,231.6,0.65923,0.62099,0.89611,0.98689,0.97846,0.98444,0.80939,0.68588,0.55452,0.87737,0.000594125,0.000594125,0.000594125
108,234.282,0.65724,0.59992,0.91339,0.98613,0.98663,0.98452,0.80668,0.68293,0.54271,0.87331,0.000587938,0.000587938,0.000587938
109,236.967,0.60956,0.60917,0.88238,0.98613,0.98663,0.98452,0.80668,0.68293,0.54271,0.87331,0.00058175,0.00058175,0.00058175
110,239.049,0.64634,0.66847,0.90223,0.9884,0.99188,0.98517,0.81654,0.67154,0.53662,0.86401,0.000575563,0.000575563,0.000575563
111,240.77,0.82206,0.77174,0.94456,0.9884,0.99188,0.98517,0.81654,0.67154,0.53662,0.86401,0.000569375,0.000569375,0.000569375
112,242.716,0.60322,0.59697,0.88339,0.98849,0.99275,0.98567,0.80003,0.68901,0.54792,0.86577,0.000563187,0.000563187,0.000563187
